Abbotsford-Clayburn,Iain Gilfillan,      BCM,198,0
Abbotsford-Clayburn,Kenneth Montgomery Keillor,     FREE,199,0
Abbotsford-Clayburn,Michael Nenn,      NDP,5555,0
Abbotsford-Clayburn,Lance Anthony Richmond Pizzariello,        GP,1428,0
Abbotsford-Clayburn,John van Dongen,       LIB,11047,1
Abbotsford-Mount Lehman,Jed Anderson,        GP,1359,0
Abbotsford-Mount Lehman,Michael G. de Jong,       LIB,11325,1
Abbotsford-Mount Lehman,Timothy Lee Felger,      BCM,392,0
Abbotsford-Mount Lehman,Robert Arthur Klassen,    DRBC,472,0
Abbotsford-Mount Lehman,Taranjit Purewal,      NDP,6132,0
Alberni-Qualicum,Jen Fisher-Bradley,    DRBC,292,0
Alberni-Qualicum,Scott Fraser,      NDP,13988,1
Alberni-Qualicum,James Dominic King,       IND,209,0
Alberni-Qualicum,Michael “Mik” Mann,      BCM,401,0
Alberni-Qualicum,Jack Thornburgh,        GP,1912,0
Alberni-Qualicum,Gillian Trumper,       LIB,9788,0
Bulkley Valley-Stikine,Doug Donaldson,      NDP,5177,0
Bulkley Valley-Stikine,Reginald Bruce Gunanoot,      BCM,205,0
Bulkley Valley-Stikine,Nipper Kettle,    DRBC,354,0
Bulkley Valley-Stikine,Jack Kortmeyer,      BCP,175,0
Bulkley Valley-Stikine,Dennis Edwin MacKay,       LIB,6279,1
Bulkley Valley-Stikine,Frank Martin,        PF,41,0
Bulkley Valley-Stikine,Leanna Mitchell,        GP,769,0
Burnaby-Edmonds,Raj Chouhan,      NDP,10337,1
Burnaby-Edmonds,Suzanne Deveau,        GP,2192,0
Burnaby-Edmonds,Patty Sahota,       LIB,9599,0
Burnaby North,Richard Brand,        GP,1763,0
Burnaby North,Pietro Calendino,      NDP,10356,0
Burnaby North,Matthew R. Laird,    DRBC,316,0
Burnaby North,Richard T. Lee,       LIB,10421,1
Burnaby-Willingdon,Pauline Farrell,        GP,1482,0
Burnaby-Willingdon,Tony Kuo,    DRBC,947,0
Burnaby-Willingdon,John Nuraney,       LIB,8754,1
Burnaby-Willingdon,Tom Tao,       IND,142,0
Burnaby-Willingdon,John Warrens,      BCM,214,0
Burnaby-Willingdon,Gabriel Wing-On Yiu,      NDP,8355,0
Burquitlam,Harry Bloy,  LIB,10054,1
Burquitlam,Graham “Evil Genius” Fox,   NA,125,0
Burquitlam,Peter Grin, BCM,191,0
Burquitlam,Bart Healey, NDP,9682,0
Burquitlam,Carli Irene Travers,   GP,1619,0
Cariboo North,James Michael Delbarre, BCM,281,0
Cariboo North,Douglas Gook,   GP,835,0
Cariboo North,Bob Simpson, NDP,7353,1
Cariboo North,Steve Wallace,  LIB,7084,0
Cariboo South,Walter Lloyd Cobb,  LIB,7163,0
Cariboo South,Mike Orr,  IND,532,0
Cariboo South,Ed Sharkey,   GP,851,0
Cariboo South,Charlie Wyse, NDP,7277,1
Chilliwack-Kent,David Michael Anderson,MDM,240,0
Chilliwack-Kent,Malcolm James, NDP,6534,0
Chilliwack-Kent,Hans Mulder,   GP,1651,0
Chilliwack-Kent,Barry Penner,  LIB,11368,1
Chilliwack-Kent,Colin Wormworth,BCYC,103,0
Chilliwack-Sumas,Brian Downey,DRBC,315,0
Chilliwack-Sumas,John-Henry Harter, NDP,6477,0
Chilliwack-Sumas,Augustine Lee,BCYC,266,0
Chilliwack-Sumas,John Les,  LIB,11995,1
Chilliwack-Sumas,Norm Siefken,   GP,1731,0
Columbia River-Revelstoke,Adam James Solheim,MDM,127,0
Columbia River-Revelstoke,Norm Macdonald, NDP,7460,1
Columbia River-Revelstoke,Wendy McMahon,  LIB,5750,0
Columbia River-Revelstoke,Andy Shadrack,   GP,1217,0
Comox Valley,Chris Aikman,   GP,2833,0
Comox Valley,Barbara Biley,   PF,51,0
Comox Valley,Andrew Black, NDP,13261,0
Comox Valley,Don Davis,DRBC,187,0
Comox Valley,Miracle Emery, BCM,214,0
Comox Valley,Mel Garden,REFD,67,0
Comox Valley,Stan Hagen,  LIB,14068,1
Comox Valley,Bruce O'Hara, WLP,83,0
Coquitlam-Maillardville,Nattanya Andersen, PLAT,69,0
Coquitlam-Maillardville,Paul Geddes, LBN,173,0
Coquitlam-Maillardville,Michael Hejazi,   GP,1415,0
Coquitlam-Maillardville,Brandon Steele, BCM,236,0
Coquitlam-Maillardville,Richard Stewart,  LIB,10001,0
Coquitlam-Maillardville,Diane Thorne, NDP,10532,1
Cowichan-Ladysmith,Jim Bell,  IND,307,0
Cowichan-Ladysmith,Graham Bruce,  LIB,11425,0
Cowichan-Ladysmith,Brian Fraser Johnson,DRBC,238,0
Cowichan-Ladysmith,Cindy-Lee Robinson,   GP,1950,0
Cowichan-Ladysmith,Doug Routley, NDP,14014,1
Cowichan-Ladysmith,Jeremy Harold Sandwith Smyth,FREE,83,0
Delta North,Guy Gentner, NDP,10481,1
Delta North,John Hague,   GP,1711,0
Delta North,Jeannie Kanakos,  LIB,9480,0
Delta North,John Shavluk, BCM,224,0
Delta North,David Andrew Wright,  BCP,187,0
Delta South,Dileep Joseph Anthony Athaide, NDP,5828,0
Delta South,Vicki Huntington,  IND,8043,0
Delta South,Duane Laird,   GP,1131,0
Delta South,George Mann,   NA,58,0
Delta South,Valerie Roddick,  LIB,9112,1
Delta South,Julian Bellamy Wooldridge, BCM,139,0
East Kootenay,Bill Bennett,  LIB,8060,1
East Kootenay,Luke Gurbin,   GP,1389,0
East Kootenay,Erda Walsh, NDP,7339,0
