Federal
41
Newfoundland and Labrador,Avalon,Avalon,Scott Andrews,Scott Andrews,Liberal Party of Canada,16008
Newfoundland and Labrador,Avalon,Avalon,Matt Crowder,Matt Crowder,Green Party of Canada,218
Newfoundland and Labrador,Avalon,Avalon,Randy Wayne Dawe,Randy Wayne Dawe,Independent,276
Newfoundland and Labrador,Avalon,Avalon,Matthew Martin Fuchs,Matthew Martin Fuchs,New Democratic Party,5157
Newfoundland and Labrador,Avalon,Avalon,Fabian Manning,Fabian Manning,Conservative Party of Canada,14749
Newfoundland and Labrador,Bonavista--Gander--Grand Falls--Windsor,Bonavista--Gander--Grand Falls--Windsor,Clyde Bridger,Clyde Bridger,New Democratic Party,4306
Newfoundland and Labrador,Bonavista--Gander--Grand Falls--Windsor,Bonavista--Gander--Grand Falls--Windsor,Aaron Hynes,Aaron Hynes,Conservative Party of Canada,8595
Newfoundland and Labrador,Bonavista--Gander--Grand Falls--Windsor,Bonavista--Gander--Grand Falls--Windsor,Robyn Kenny,Robyn Kenny,Green Party of Canada,279
Newfoundland and Labrador,Bonavista--Gander--Grand Falls--Windsor,Bonavista--Gander--Grand Falls--Windsor,Scott Simms,Scott Simms,Liberal Party of Canada,17977
Newfoundland and Labrador,Humber--St. Barbe--Baie Verte,Humber--St. Barbe--Baie Verte,Wayne R. Bennett,Wayne R. Bennett,Independent,332
Newfoundland and Labrador,Humber--St. Barbe--Baie Verte,Humber--St. Barbe--Baie Verte,Gerry Byrne,Gerry Byrne,Liberal Party of Canada,17119
Newfoundland and Labrador,Humber--St. Barbe--Baie Verte,Humber--St. Barbe--Baie Verte,Robin Blair Gosse,Robin Blair Gosse,Green Party of Canada,253
Newfoundland and Labrador,Humber--St. Barbe--Baie Verte,Humber--St. Barbe--Baie Verte,Shelley Senior,Shelley Senior,New Democratic Party,4751
Newfoundland and Labrador,Humber--St. Barbe--Baie Verte,Humber--St. Barbe--Baie Verte,Trevor Taylor,Trevor Taylor,Conservative Party of Canada,7559
Newfoundland and Labrador,Labrador,Labrador,George C.R. Barrett,George C.R. Barrett,Green Party of Canada,139
Newfoundland and Labrador,Labrador,Labrador,Jacob Larkin,Jacob Larkin,New Democratic Party,2120
Newfoundland and Labrador,Labrador,Labrador,Peter Penashue,Peter Penashue,Conservative Party of Canada,4256
Newfoundland and Labrador,Labrador,Labrador,Todd Russell,Todd Russell,Liberal Party of Canada,4177
Newfoundland and Labrador,Random--Burin--St. George's,Random--Burin--St. George's,Judy Foote,Judy Foote,Liberal Party of Canada,12914
Newfoundland and Labrador,Random--Burin--St. George's,Random--Burin--St. George's,Tanya Gutmanis,Tanya Gutmanis,Green Party of Canada,307
Newfoundland and Labrador,Random--Burin--St. George's,Random--Burin--St. George's,Stella Magalios,Stella Magalios,New Democratic Party,4465
Newfoundland and Labrador,Random--Burin--St. George's,Random--Burin--St. George's,John Ottenheimer,John Ottenheimer,Conservative Party of Canada,8322
