Province,Riding English,Riding French,Candidate English,Candidate French,Party,Votes,Elected
Newfoundland and Labrador,Avalon,Avalon,Scott Andrews,Scott Andrews,Liberal Party of Canada,14866,
Newfoundland and Labrador,Avalon,Avalon,Dave Aylward,Dave Aylward,Green Party of Canada,713,
Newfoundland and Labrador,Avalon,Avalon,Randy Wayne Dawe,Randy Wayne Dawe,New Democratic Party,5708,
Newfoundland and Labrador,Avalon,Avalon,Fabian Manning,Fabian Manning,Conservative Party of Canada,11542,
Newfoundland and Labrador,Bonavista--Gander--Grand Falls--Windsor,Bonavista--Gander--Grand Falls--Windsor,Jason Holley,Jason Holley,New Democratic Party,3577,
Newfoundland and Labrador,Bonavista--Gander--Grand Falls--Windsor,Bonavista--Gander--Grand Falls--Windsor,Andrew House,Andrew House,Conservative Party of Canada,4354,
Newfoundland and Labrador,Bonavista--Gander--Grand Falls--Windsor,Bonavista--Gander--Grand Falls--Windsor,Robert Karl O'Connor,Robert Karl O'Connor,Green Party of Canada,568,
Newfoundland and Labrador,Bonavista--Gander--Grand Falls--Windsor,Bonavista--Gander--Grand Falls--Windsor,Scott Simms,Scott Simms,Liberal Party of Canada,20089,
Newfoundland and Labrador,Humber--St. Barbe--Baie Verte,Humber--St. Barbe--Baie Verte,Wayne Ronald Bennett,Wayne Ronald Bennett,Newfoundland and Labrador First Party,967,
Newfoundland and Labrador,Humber--St. Barbe--Baie Verte,Humber--St. Barbe--Baie Verte,Gerry Byrne,Gerry Byrne,Liberal Party of Canada,17943,
Newfoundland and Labrador,Humber--St. Barbe--Baie Verte,Humber--St. Barbe--Baie Verte,Mark Kennedy,Mark Kennedy,New Democratic Party,4703,
Newfoundland and Labrador,Humber--St. Barbe--Baie Verte,Humber--St. Barbe--Baie Verte,Lorne Robinson,Lorne Robinson,Conservative Party of Canada,2806,
Newfoundland and Labrador,Labrador,Labrador,Phyllis Artiss,Phyllis Artiss,New Democratic Party,1378,
Newfoundland and Labrador,Labrador,Labrador,Lacey Lewis,Lacey Lewis,Conservative Party of Canada,615,
Newfoundland and Labrador,Labrador,Labrador,Nyssa Christine McLeod,Nyssa Christine McLeod,Green Party of Canada,302,
Newfoundland and Labrador,Labrador,Labrador,Todd Russell,Todd Russell,Liberal Party of Canada,5426,
Newfoundland and Labrador,Random--Burin--St. George's,Random--Burin--St. George's,Herb Davis,Herb Davis,Conservative Party of Canada,4791,
Newfoundland and Labrador,Random--Burin--St. George's,Random--Burin--St. George's,Judy Foote,Judy Foote,Liberal Party of Canada,12557,
Newfoundland and Labrador,Random--Burin--St. George's,Random--Burin--St. George's,Kaitlin Wainwright,Kaitlin Wainwright,Green Party of Canada,462,
Newfoundland and Labrador,Random--Burin--St. George's,Random--Burin--St. George's,Terry White,Terry White,New Democratic Party,5553,
Newfoundland and Labrador,St. John's East,St. John's-Est,Les Coultas,Les Coultas,Newfoundland and Labrador First Party,349,
Newfoundland and Labrador,St. John's East,St. John's-Est,Jack Harris,Jack Harris,New Democratic Party,31369,
Newfoundland and Labrador,St. John's East,St. John's-Est,Walter Noel,Walter Noel,Liberal Party of Canada,5273,
Newfoundland and Labrador,St. John's East,St. John's-Est,Howard Story,Howard Story,Green Party of Canada,586,
Newfoundland and Labrador,St. John's East,St. John's-Est,Shannon John Tobin,Shannon John Tobin,Progressive Canadian Party,584,
Newfoundland and Labrador,St. John's East,St. John's-Est,Craig Westcott,Craig Westcott,Conservative Party of Canada,3872,
Newfoundland and Labrador,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Terry Christopher Butler,Terry Christopher Butler,Independent,179,
Newfoundland and Labrador,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Greg Byrne,Greg Byrne,Newfoundland and Labrador First Party,485,
Newfoundland and Labrador,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Ryan Cleary,Ryan Cleary,New Democratic Party,13883,
Newfoundland and Labrador,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Siobhan Coady,Siobhan Coady,Liberal Party of Canada,14930,
Newfoundland and Labrador,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Ted Warren,Ted Warren,Green Party of Canada,643,
