Nova Scotia
62
Nova Scotia,Annapolis,Annapolis,Stephen McNeil,Stephen McNeil,Nova Scotia Liberal Party,7710
Nova Scotia,Annapolis,Annapolis,Henry A. Spurr,Henry A. Spurr,Nova Scotia New Democratic Party,834
Nova Scotia,Annapolis,Annapolis,Ginny Hurlock,Ginny Hurlock,Progressive Conservative Association of Nova Scotia,1390
Nova Scotia,Annapolis,Annapolis,Ron Neufeld,Ron Neufeld,Green Party of Nova Scotia,227
Nova Scotia,Antigonish,Antigonish,Randy Delorey,Randy Delorey,Nova Scotia Liberal Party,3882
Nova Scotia,Antigonish,Antigonish,Maurice (Moe) Smith,Maurice (Moe) Smith,Nova Scotia New Democratic Party,2324
Nova Scotia,Antigonish,Antigonish,Darren Thompson,Darren Thompson,Progressive Conservative Association of Nova Scotia,2868
Nova Scotia,Argyle-Barrington,Argyle-Barrington,Kent Blades,Kent Blades,Nova Scotia Liberal Party,2905
Nova Scotia,Argyle-Barrington,Argyle-Barrington,Kenn Baynton,Kenn Baynton,Nova Scotia New Democratic Party,355
Nova Scotia,Argyle-Barrington,Argyle-Barrington,Chris d'Entremont,Chris d'Entremont,Progressive Conservative Association of Nova Scotia,3935
Nova Scotia,Bedford,Bedford,Kelly Regan,Kelly Regan,Nova Scotia Liberal Party,6081
Nova Scotia,Bedford,Bedford,Mike Poworoznyk,Mike Poworoznyk,Nova Scotia New Democratic Party,1701
Nova Scotia,Bedford,Bedford,Joan Christie,Joan Christie,Progressive Conservative Association of Nova Scotia,2026
Nova Scotia,Bedford,Bedford,Ian Charles,Ian Charles,Green Party of Nova Scotia,217
Nova Scotia,Cape Breton Centre,Cape Breton Centre,Dave Wilton,Dave Wilton,Nova Scotia Liberal Party,3282
Nova Scotia,Cape Breton Centre,Cape Breton Centre,Frank Corbett,Frank Corbett,Nova Scotia New Democratic Party,3440
Nova Scotia,Cape Breton Centre,Cape Breton Centre,Edna Lee,Edna Lee,Progressive Conservative Association of Nova Scotia,873
Nova Scotia,Cape Breton-Richmond,Cape Breton-Richmond,Michel P. Samson,Michel P. Samson,Nova Scotia Liberal Party,4369
Nova Scotia,Cape Breton-Richmond,Cape Breton-Richmond,Bert Lewis,Bert Lewis,Nova Scotia New Democratic Party,1667
Nova Scotia,Cape Breton-Richmond,Cape Breton-Richmond,Joe Janega,Joe Janega,Progressive Conservative Association of Nova Scotia,1696
Nova Scotia,Chester-St. Margaret's,Chester-St. Margaret's,Tim W. Harris,Tim W. Harris,Nova Scotia Liberal Party,2943
Nova Scotia,Chester-St. Margaret's,Chester-St. Margaret's,Denise Peterson-Rafuse,Denise Peterson-Rafuse,Nova Scotia New Democratic Party,3341
Nova Scotia,Chester-St. Margaret's,Chester-St. Margaret's,Janet E. Irwin,Janet E. Irwin,Progressive Conservative Association of Nova Scotia,3193
Nova Scotia,Clare-Digby,Clare-Digby,Gordon L. Wilson,Gordon L. Wilson,Nova Scotia Liberal Party,5122
Nova Scotia,Clare-Digby,Clare-Digby,Dean Kenley,Dean Kenley,Nova Scotia New Democratic Party,842
Nova Scotia,Clare-Digby,Clare-Digby,Paul Emile LeBlanc,Paul Emile LeBlanc,Progressive Conservative Association of Nova Scotia,2911
Nova Scotia,Clare-Digby,Clare-Digby,Ian Thurber,Ian Thurber,Independent,492
Nova Scotia,Clayton Park West,Clayton Park West,Diana Whalen,Diana Whalen,Nova Scotia Liberal Party,5929
Nova Scotia,Clayton Park West,Clayton Park West,Blake Wright,Blake Wright,Nova Scotia New Democratic Party,1515
Nova Scotia,Clayton Park West,Clayton Park West,Jaime Allen,Jaime Allen,Progressive Conservative Association of Nova Scotia,1299
Nova Scotia,Colchester-Musquodoboit Valley,Colchester-Musquodoboit Valley,Tom Martin,Tom Martin,Nova Scotia Liberal Party,2220
Nova Scotia,Colchester-Musquodoboit Valley,Colchester-Musquodoboit Valley,Gary Burrill,Gary Burrill,Nova Scotia New Democratic Party,2293
Nova Scotia,Colchester-Musquodoboit Valley,Colchester-Musquodoboit Valley,Larry Harrison,Larry Harrison,Progressive Conservative Association of Nova Scotia,3304
Nova Scotia,Colchester North,Colchester North,Karen Casey,Karen Casey,Nova Scotia Liberal Party,5003
Nova Scotia,Colchester North,Colchester North,Jim Wyatt,Jim Wyatt,Nova Scotia New Democratic Party,1037
Nova Scotia,Colchester North,Colchester North,John K. MacDonald,John K. MacDonald,Progressive Conservative Association of Nova Scotia,2162
Nova Scotia,Cole Harbour-Eastern Passage,Cole Harbour-Eastern Passage,Joyce Treen,Joyce Treen,Nova Scotia Liberal Party,3057
Nova Scotia,Cole Harbour-Eastern Passage,Cole Harbour-Eastern Passage,Becky Kent,Becky Kent,Nova Scotia New Democratic Party,2914
Nova Scotia,Cole Harbour-Eastern Passage,Cole Harbour-Eastern Passage,Lloyd Jackson,Lloyd Jackson,Progressive Conservative Association of Nova Scotia,1555
Nova Scotia,Cole Harbour-Portland Valley,Cole Harbour-Portland Valley,Tony Ince,Tony Ince,Nova Scotia Liberal Party,4002
Nova Scotia,Cole Harbour-Portland Valley,Cole Harbour-Portland Valley,Darrell E. Dexter,Darrell E. Dexter,Nova Scotia New Democratic Party,3981
Nova Scotia,Cole Harbour-Portland Valley,Cole Harbour-Portland Valley,Gregory E. Frampton,Gregory E. Frampton,Progressive Conservative Association of Nova Scotia,1769
Nova Scotia,Cumberland North,Cumberland North,Terry Farrell,Terry Farrell,Nova Scotia Liberal Party,2944
Nova Scotia,Cumberland North,Cumberland North,Brian Skabar,Brian Skabar,Nova Scotia New Democratic Party,1974
Nova Scotia,Cumberland North,Cumberland North,Judi Giroux,Judi Giroux,Progressive Conservative Association of Nova Scotia,2212
Nova Scotia,Cumberland North,Cumberland North,Jason M. Blanch,Jason M. Blanch,Green Party of Nova Scotia,279
Nova Scotia,Cumberland South,Cumberland South,Kenny John Jackson,Kenny John Jackson,Nova Scotia Liberal Party,2884
Nova Scotia,Cumberland South,Cumberland South,Larry M. Duchesne,Larry M. Duchesne,Nova Scotia New Democratic Party,486
Nova Scotia,Cumberland South,Cumberland South,Jamie Baillie,Jamie Baillie,Progressive Conservative Association of Nova Scotia,3655
Nova Scotia,Cumberland South,Cumberland South,Bruce W. McCulloch,Bruce W. McCulloch,Green Party of Nova Scotia,147
Nova Scotia,Dartmouth East,Dartmouth East,Andrew Younger,Andrew Younger,Nova Scotia Liberal Party,5469
